County,Region,geoid,Typical Afternoon Temperature in deg F,Tree Canopy %,Total Population,Population Age < 5,Population Age > 65
Baltimore city,Baltimore,24510170100,95.9391692088042,2.35984848484849,1594,97,149
Baltimore city,Baltimore,24510170200,96.3061757946364,0.0586319218241042,2705,120,375
Baltimore city,Baltimore,24510170300,95.2220184311198,2.56560283687943,1767,80,264
Baltimore city,Baltimore,24510180100,95.6100741887686,0.118483412322275,2185,257,152
Baltimore city,Baltimore,24510180200,95.05023829999,2.36926605504587,947,30,204
Baltimore city,Baltimore,24510180300,95.5176150424549,0.15270018621974,1732,55,70
Baltimore city,Baltimore,24510190100,95.3373544379666,1.50842696629213,2305,202,252
Baltimore city,Baltimore,24510190200,94.9829217787578,1.82285714285714,1538,124,191
Baltimore city,Baltimore,24510190300,95.7595895968305,1.12875536480687,2158,276,204
Baltimore city,Baltimore,24510200100,95.7907912074415,0.435222672064777,1824,78,194
Baltimore city,Baltimore,24510200200,95.5559870610919,4.01860465116279,2072,173,503
Baltimore city,Baltimore,24510200300,95.9983034234297,0.0633484162895928,1356,164,75
Baltimore city,Baltimore,24510200400,95.3633373581745,7.72413793103449,1519,152,136
Baltimore city,Baltimore,24510200500,95.8376092102433,0.848070739549839,2709,366,348
Baltimore city,Baltimore,24510200600,94.3314996716823,22.4508393285371,2311,122,242
Baltimore city,Baltimore,24510200701,94.5336826754796,4.6726217061188,4797,299,784
Baltimore city,Baltimore,24510200702,94.4055742680508,10.6660447761194,1026,42,142
Baltimore city,Baltimore,24510200800,93.9120529463373,12.0407854984894,2170,47,259
Baltimore city,Baltimore,24510210100,95.9267491445333,0.684541265186427,2470,111,180
Baltimore city,Baltimore,24510210200,95.3450985852559,4.71039377289378,3529,316,320
Baltimore city,Baltimore,24510220100,95.265318322776,0.210550887021475,4447,180,820
Baltimore city,Baltimore,24510230100,95.4793972444011,0.0,1872,96,98
Baltimore city,Baltimore,24510230200,95.559104235032,0.0,1982,124,228
Baltimore city,Baltimore,24510230300,95.1136796090503,0.785655737704918,1408,11,89
Baltimore city,Baltimore,24510240100,94.7237493606609,0.786061125392745,3320,328,187
Baltimore city,Baltimore,24510240200,95.2640318906992,0.0163522012578616,2746,96,354
Baltimore city,Baltimore,24510240300,95.4150019801383,0.088,1977,48,128
Baltimore city,Baltimore,24510240400,94.849218949433,0.511200716845877,2721,199,196
Baltimore city,Baltimore,24510250101,92.9326038272166,24.4615816040381,4116,226,486
Baltimore city,Baltimore,24510250102,93.6814198424173,16.1699489423778,2732,147,310
Baltimore city,Baltimore,24510250103,94.7724430245022,9.91173416407061,3378,97,788
Baltimore city,Baltimore,24510250203,94.7015732779444,8.16598718695399,1940,179,267
